"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","1,093.80","1,007.25","1,134.80","982.50","20.65K","8.73%"
"2022년 3월","1,006.00","936.75","1,362.12","932.50","0.15K","8.41%"
"2022년 2월","928.00","762.50","951.25","740.00","1.06M","21.90%"
"2022년 1월","761.25","771.62","831.40","735.75","44.59K","-1.23%"
"2021년 12월","770.75","784.00","824.00","751.00","480.19K","-0.39%"
"2021년 11월","773.75","774.50","863.25","762.50","1.19M","0.13%"
"2021년 10월","772.75","725.00","780.00","712.75","995.02K","6.48%"
"2021년 9월","725.75","723.62","733.10","678.50","-","0.24%"
"2021년 8월","724.00","705.25","774.62","704.25","-","2.91%"
"2021년 7월","703.50","678.62","717.90","609.60","-","3.42%"
"2021년 6월","680.25","673.62","704.00","632.62","-","2.43%"
"2021년 5월","664.12","733.25","767.00","639.75","-","-9.68%"
"2021년 4월","735.30","622.00","769.40","601.38","-","18.84%"
"2021년 3월","618.75","662.12","668.62","593.38","-","-6.27%"
"2021년 2월","660.12","657.00","688.38","625.75","-","-0.38%"
"2021년 1월","662.62","641.75","693.12","625.75","-","3.25%"
"2020년 12월","641.75","579.38","644.38","563.50","-","10.46%"
"2020년 11월","581.00","596.75","625.88","579.50","-","-2.92%"
"2020년 10월","598.50","575.12","637.62","561.38","-","3.53%"
"2020년 9월","578.12","541.88","586.62","533.38","-","5.79%"
"2020년 8월","546.50","526.12","551.75","488.12","-","2.92%"
"2020년 7월","531.00","490.50","551.62","477.50","-","8.20%"
"2020년 6월","490.75","520.25","528.62","468.25","-","-5.92%"
"2020년 5월","521.62","522.38","527.75","493.88","-","-0.36%"
"2020년 4월","523.50","567.25","571.75","506.88","-","-7.79%"
"2020년 3월","567.75","525.25","586.88","492.12","-","8.09%"
"2020년 2월","525.25","551.12","570.38","512.62","-","-5.08%"
"2020년 1월","553.38","559.50","592.38","545.38","-","-1.07%"
"2019년 12월","559.38","542.38","564.62","516.38","-","3.18%"
"2019년 11월","542.12","508.50","545.88","498.62","-","6.56%"
"2019년 10월","508.75","496.25","534.88","485.38","-","2.67%"
"2019년 9월","495.50","461.88","500.88","450.62","-","7.40%"
"2019년 8월","461.38","487.00","505.38","456.25","-","-5.16%"
"2019년 7월","486.50","530.62","531.38","483.38","-","-7.51%"
"2019년 6월","526.00","507.00","557.12","488.12","-","4.18%"
"2019년 5월","504.88","427.88","521.62","418.62","-","17.69%"
"2019년 4월","429.00","459.12","477.38","426.12","-","-6.43%"
"2019년 3월","458.50","458.75","477.88","427.12","-","-0.05%"
"2019년 2월","458.75","516.50","531.12","458.12","-","-11.18%"
"2019년 1월","516.50","503.12","528.88","501.38","-","2.68%"
"2018년 12월","503.00","527.75","538.50","503.00","-","-2.42%"
"2018년 11월","515.50","500.75","520.75","495.50","-","2.84%"
"2018년 10월","501.25","509.75","527.25","485.50","-","-1.81%"
"2018년 9월","510.50","537.75","542.50","495.25","-","-6.59%"
"2018년 8월","546.50","554.50","593.00","513.00","-","-1.44%"
"2018년 7월","554.50","501.75","565.00","471.25","-","10.46%"
"2018년 6월","502.00","524.50","538.75","467.50","-","-4.34%"
"2018년 5월","524.75","513.00","554.00","486.25","-","2.64%"
"2018년 4월","511.25","454.00","513.00","445.75","-","13.17%"
"2018년 3월","451.75","495.50","518.50","441.50","-","-8.27%"
"2018년 2월","492.50","451.50","499.50","438.75","-","9.08%"
"2018년 1월","451.50","429.50","458.75","413.25","-","5.61%"
"2017년 12월","427.50","432.50","442.75","411.00","-","-1.58%"
"2017년 11월","434.38","418.75","439.00","409.12","-","3.79%"
"2017년 10월","418.50","445.00","450.50","416.50","-","-6.64%"
"2017년 9월","448.25","434.75","462.75","428.50","-","2.93%"
"2017년 8월","435.50","472.25","478.00","400.75","-","-8.17%"
"2017년 7월","474.25","539.62","574.25","472.00","-","-9.80%"
"2017년 6월","525.75","429.38","525.75","421.62","-","22.41%"
"2017년 5월","429.50","441.50","461.50","420.50","-","-0.72%"
"2017년 4월","432.62","430.50","436.50","400.25","-","1.61%"
"2017년 3월","425.75","443.00","462.50","417.00","-","-4.06%"
"2017년 2월","443.75","421.25","464.25","417.25","-","5.40%"
"2017년 1월","421.00","408.38","437.62","405.00","-","3.25%"
"2016년 12월","407.75","403.75","420.75","392.75","-","1.18%"
"2016년 11월","403.00","416.00","421.25","392.75","-","-2.95%"
"2016년 10월","415.25","400.50","428.25","391.75","-","3.36%"
"2016년 9월","401.75","391.50","411.75","389.75","-","3.68%"
"2016년 8월","387.50","407.75","432.50","381.25","-","-4.85%"
"2016년 7월","407.25","445.38","451.50","403.75","-","-9.10%"
"2016년 6월","448.00","463.38","523.88","438.00","-","-3.40%"
"2016년 5월","463.75","486.75","492.75","455.00","-","-5.21%"
"2016년 4월","489.25","473.75","510.75","446.25","-","3.11%"
"2016년 3월","474.50","453.38","479.38","442.38","-","4.77%"
"2016년 2월","452.88","476.25","483.00","446.62","-","-5.53%"
"2016년 1월","479.38","472.50","488.50","456.13","-","2.13%"
"2015년 12월","469.38","474.63","498.88","465.63","-","-1.31%"
"2015년 11월","475.63","521.38","530.75","475.13","-","-8.91%"
"2015년 10월","522.13","512.38","531.50","483.63","-","1.93%"
"2015년 9월","512.25","484.13","515.50","463.13","-","5.54%"
"2015년 8월","485.38","497.13","529.88","476.13","-","-2.56%"
"2015년 7월","498.13","614.25","615.00","493.88","-","-19.22%"
"2015년 6월","616.63","478.00","617.13","474.13","-","29.03%"
"2015년 5월","477.88","476.13","529.88","461.13","-","0.53%"
"2015년 4월","475.38","513.38","544.13","464.13","-","-7.31%"
"2015년 3월","512.88","513.75","540.38","479.38","-","0.17%"
"2015년 2월","512.00","502.25","546.63","490.13","-","1.74%"
"2015년 1월","503.25","589.38","603.50","497.38","-","-14.69%"
"2014년 12월","589.88","576.88","676.88","570.38","-","1.99%"
"2014년 11월","578.38","535.63","580.63","511.38","-","8.87%"
"2014년 10월","531.25","477.63","545.25","469.63","-","11.00%"
"2014년 9월","478.63","561.88","565.88","466.38","-","-15.04%"
"2014년 8월","563.38","531.25","578.63","527.38","-","6.22%"
"2014년 7월","530.38","578.63","584.25","518.63","-","-8.04%"
"2014년 6월","576.75","625.75","626.13","568.75","-","-8.18%"
"2014년 5월","628.13","723.25","743.88","625.63","-","-12.94%"
"2014년 4월","721.50","695.88","724.63","656.38","-","3.50%"
"2014년 3월","697.13","623.63","722.88","615.00","-","16.11%"
"2014년 2월","600.38","554.88","620.75","554.13","-","8.18%"
"2014년 1월","555.00","605.13","612.38","550.38","-","-8.28%"
"2013년 12월","605.13","668.88","674.63","599.38","-","-9.45%"
"2013년 11월","668.25","667.75","672.13","642.38","-","0.13%"
"2013년 10월","667.38","678.13","711.13","667.13","-","-1.73%"
"2013년 9월","679.13","663.00","694.00","637.13","-","3.70%"
"2013년 8월","654.88","663.38","676.38","623.13","-","-1.32%"
"2013년 7월","663.63","655.50","692.88","648.13","-","1.03%"
"2013년 6월","656.88","707.75","714.38","656.13","-","-7.04%"
"2013년 5월","706.63","731.50","734.88","674.13","-","-3.24%"
"2013년 4월","730.25","684.88","736.63","660.25","-","6.68%"
"2013년 3월","684.50","716.50","741.38","681.25","-","-4.45%"
"2013년 2월","716.38","781.50","789.88","698.13","-","-8.35%"
"2013년 1월","781.63","786.88","799.63","736.38","-","0.40%"
"2012년 12월","778.50","863.50","877.13","764.63","-","-9.84%"
"2012년 11월","863.50","867.38","911.63","829.63","-","-0.39%"
"2012년 10월","866.88","895.50","901.00","841.63","-","-3.21%"
"2012년 9월","895.63","892.00","930.63","849.38","-","0.79%"
"2012년 8월","888.63","893.25","930.88","838.75","-","-0.45%"
"2012년 7월","892.63","758.88","944.50","756.38","-","17.62%"
"2012년 6월","758.88","646.88","763.38","641.00","-","17.54%"
"2012년 5월","645.63","652.50","721.38","592.38","-","-1.07%"
"2012년 4월","652.63","662.88","665.63","604.25","-","-0.95%"
"2012년 3월","658.88","666.63","677.50","611.50","-","-1.35%"
"2012년 2월","667.88","666.75","683.25","621.13","-","0.19%"
"2012년 1월","666.63","653.13","670.50","590.13","-","2.07%"
"2011년 12월","653.13","615.00","655.75","577.25","-","6.22%"
"2011년 11월","614.88","629.63","659.13","572.50","-","-2.28%"
"2011년 10월","629.25","609.13","665.13","596.88","-","3.84%"
"2011년 9월","606.00","787.88","789.13","605.38","-","-23.11%"
"2011년 8월","788.13","674.50","805.63","642.50","-","16.78%"
"2011년 7월","674.88","600.50","727.50","592.88","-","12.41%"
"2011년 6월","600.38","787.13","787.63","596.00","-","-23.73%"
"2011년 5월","787.13","801.38","834.38","723.25","-","-2.11%"
"2011년 4월","804.13","759.75","864.75","730.25","-","5.93%"
"2011년 3월","759.13","819.25","836.88","656.50","-","-7.01%"
