"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","441.05","468.30","472.90","429.05","33.39K","-5.66%"
"2022년 3월","467.50","457.90","525.40","453.50","488.43K","2.77%"
"2022년 2월","454.90","418.70","493.10","417.10","1.00M","8.59%"
"2022년 1월","418.90","417.80","445.00","387.40","533.53K","1.75%"
"2021년 12월","411.70","350.00","422.30","346.30","337.60K","18.03%"
"2021년 11월","348.80","332.60","382.00","328.60","997.41K","4.87%"
"2021년 10월","332.60","326.90","334.60","308.80","586.93K","1.96%"
"2021년 9월","326.20","346.50","347.20","325.80","194.96K","-5.83%"
"2021년 8월","346.40","352.00","364.70","345.00","226.06K","-1.76%"
"2021년 7월","352.60","373.50","384.70","347.30","230.04K","-6.10%"
"2021년 6월","375.50","396.00","406.90","339.90","913.19K","-5.06%"
"2021년 5월","395.50","426.00","456.00","378.30","507.07K","-7.16%"
"2021년 4월","426.00","427.80","435.70","394.40","819.03K","0.66%"
"2021년 3월","423.20","427.10","427.90","395.40","532.76K","0.00%"
"2021년 2월","423.20","432.40","443.70","417.00","784.69K","-1.81%"
"2021년 1월","431.00","439.10","474.10","417.60","513.62K","-0.78%"
"2020년 12월","434.40","394.20","436.40","378.40","357.00K","10.51%"
"2020년 11월","393.10","378.60","402.40","373.80","1.01M","3.83%"
"2020년 10월","378.60","339.80","392.70","339.00","685.18K","11.45%"
"2020년 9월","339.70","304.40","346.50","300.00","231.18K","11.52%"
"2020년 8월","304.60","288.80","307.00","279.80","255.68K","5.29%"
"2020년 7월","289.30","287.20","296.90","284.10","278.34K","1.05%"
"2020년 6월","286.30","283.20","292.80","279.90","1.05M","1.09%"
"2020년 5월","283.20","289.90","289.90","281.50","400.41K","-2.21%"
"2020년 4월","289.60","321.90","322.60","278.80","708.69K","-9.92%"
"2020년 3월","321.50","298.50","336.30","292.80","708.89K","7.67%"
"2020년 2월","298.60","290.90","300.40","284.80","1.13M","2.61%"
"2020년 1월","291.00","299.20","303.90","290.40","668.89K","-2.97%"
"2019년 12월","299.90","290.90","303.70","290.50","410.92K","3.09%"
"2019년 11월","290.90","304.40","307.90","290.60","1.12M","-4.43%"
"2019년 10월","304.40","297.50","311.90","296.90","592.78K","2.87%"
"2019년 9월","295.90","289.10","299.30","286.40","282.64K","2.28%"
"2019년 8월","289.30","297.90","298.30","288.90","284.70K","-2.98%"
"2019년 7월","298.20","316.00","317.00","297.60","341.85K","-4.76%"
"2019년 6월","313.10","321.30","327.30","308.10","1.10M","-2.55%"
"2019년 5월","321.30","295.80","328.10","280.70","753.65K","8.55%"
"2019년 4월","296.00","306.10","312.30","295.20","1.12M","-3.43%"
"2019년 3월","306.50","302.30","316.50","296.20","566.54K","1.39%"
"2019년 2월","302.30","310.00","317.40","301.80","1.16M","-2.48%"
"2019년 1월","310.00","306.20","320.10","305.80","600.63K","1.24%"
"2018년 12월","306.20","315.40","316.40","302.60","332.50K","-0.68%"
